"EventId","ObjectId","TransactionStart","TransactionEnd","ResourceId","JourneyOutcome","PolicyId","UserJourneyId","ApplicationId"
"54dacb91-6927-44b4-b351-48c0280d3929","00000000-0000-0000-0000-000000000000","2017-03-08T09:02:31Z","2017-03-08T09:02:31Z","DISCOVERY/KEYS","Success","b2c_1a_unified","SignUpOrSignIn","00000000-0000-0000-0000-000000000000"
"f29b0448-40b8-4495-8dd4-3ec7aecc4547","00000000-0000-0000-0000-000000000000","2017-03-08T09:02:27Z","2017-03-08T09:02:27Z","WELL-KNOWN/OPENID-CONFIGURATION","Success","b2c_1a_unified","SignUpOrSignIn","00000000-0000-0000-0000-000000000000"
"27aeb4d9-5091-4686-91df-1392fc548b99","00000000-0000-0000-0000-000000000000","2017-03-08T08:49:09Z","2017-03-08T08:49:09Z","OAUTH2/AUTHORIZE","CallerError","b2c_1a_unified","SignUpOrSignIn","ae765f42-3e49-4dcb-9a52-c8ec96361e5c"
"383caab5-62f5-4eb0-ae43-a61328a54fd2","00000000-0000-0000-0000-000000000000","2017-03-08T08:47:15Z","2017-03-08T08:47:15Z","OAUTH2/AUTHORIZE","CallerError","b2c_1a_unified","SignUpOrSignIn","ae765f42-3e49-4dcb-9a52-c8ec96361e5c"
"394a0e0d-0964-49f0-ada0-31d2bc399d6a","00000000-0000-0000-0000-000000000000","2017-03-08T08:47:11Z","2017-03-08T08:47:11Z","DISCOVERY/KEYS","Success","b2c_1a_unified","SignUpOrSignIn","00000000-0000-0000-0000-000000000000"
"6216f895-6a9a-4d73-b7aa-ed075c7e7bd1","00000000-0000-0000-0000-000000000000","2017-03-08T08:47:09Z","2017-03-08T08:47:09Z","WELL-KNOWN/OPENID-CONFIGURATION","Success","b2c_1a_unified","SignUpOrSignIn","00000000-0000-0000-0000-000000000000"
"01688aa1-c6dc-43d6-8127-1e69ddcd6276","38ca94fe-8e32-4dd3-a561-df71b455e5fc","2017-03-07T23:10:48Z","2017-03-07T23:11:14Z","OAUTH2/AUTHORIZE","Success","b2c_1a_unified","SignUpOrSignIn","bba12307-3665-4479-8e02-9a6bbf4e2e4d"
"3bd0b55b-7a33-4662-8ef6-1ddd07d206de","38ca94fe-8e32-4dd3-a561-df71b455e5fc","2017-03-07T22:51:16Z","2017-03-07T23:09:57Z","OAUTH2/AUTHORIZE","Success","b2c_1a_unified","SignUpOrSignIn","bba12307-3665-4479-8e02-9a6bbf4e2e4d"
"0729e855-f363-4215-9c17-c2381d14695d","38ca94fe-8e32-4dd3-a561-df71b455e5fc","2017-03-07T22:49:22Z","2017-03-07T22:49:46Z","OAUTH2/AUTHORIZE","Success","b2c_1a_unified","SignUpOrSignIn","bba12307-3665-4479-8e02-9a6bbf4e2e4d"
"cb924205-706e-41b7-b8bd-0bc6a89584ee","00000000-0000-0000-0000-000000000000","2017-03-07T22:49:18Z","2017-03-07T22:49:18Z","OAUTH2/LOGOUT","Success","b2c_1a_unified","SignUpOrSignIn","00000000-0000-0000-0000-000000000000"
"dfe740c9-52af-4d9c-b9b4-32afed98c9f9","38ca94fe-8e32-4dd3-a561-df71b455e5fc","2017-03-07T22:48:44Z","2017-03-07T22:49:09Z","OAUTH2/AUTHORIZE","Success","b2c_1a_unified","SignUpOrSignIn","bba12307-3665-4479-8e02-9a6bbf4e2e4d"
"aa30df6d-27a9-4953-8356-15fe6add5aa0","38ca94fe-8e32-4dd3-a561-df71b455e5fc","2017-03-07T22:41:21Z","2017-03-07T22:41:35Z","OAUTH2/AUTHORIZE","Success","b2c_1a_unified","SignUpOrSignIn","bba12307-3665-4479-8e02-9a6bbf4e2e4d"
"00bcff8b-9d49-492b-b4ac-15dc08feaec0","38ca94fe-8e32-4dd3-a561-df71b455e5fc","2017-03-07T22:37:29Z","2017-03-07T22:37:40Z","OAUTH2/AUTHORIZE","Success","b2c_1a_unified","SignUpOrSignIn","bba12307-3665-4479-8e02-9a6bbf4e2e4d"
"369e12cc-4524-46eb-b4c1-97f0ad02ba2b","38ca94fe-8e32-4dd3-a561-df71b455e5fc","2017-03-07T22:36:56Z","2017-03-07T22:37:11Z","OAUTH2/AUTHORIZE","Success","b2c_1a_unified","SignUpOrSignIn","bba12307-3665-4479-8e02-9a6bbf4e2e4d"
